Empty,Topic root,topic uid,priority id,low score,high score
,projects/work-spawner-3000/topics/,priority-1,1,1,2
,projects/work-spawner-3000/topics/,priority-2,2,2,2.5
,projects/work-spawner-3000/topics/,priority-2.5,2.5,2.5,3
,projects/work-spawner-3000/topics/,priority-3,3,3,4
,projects/work-spawner-3000/topics/,priority-4,4,4,5
,projects/work-spawner-3000/topics/,priority-5,5,5,6
,projects/work-spawner-3000/topics/,priority-6,6,6,7
,projects/work-spawner-3000/topics/,priority-7,7,7,8
,projects/work-spawner-3000/topics/,priority-8,8,8,9
,projects/work-spawner-3000/topics/,priority-9,9,9,10
